llm,package,run,run_number,total_surviving,predicted_equivalent,predicted_behavioral,equiv_rate_pct,ci_low_pct,ci_high_pct,confidence_interval
meta-llama_llama-4-maverick,zip-a-folder,run1,1,2,0,2,0.0,0.0,0.0,"(0.0%, 0.0%)"
meta-llama_llama-4-maverick,Complex.js,run2,2,311,22,289,7.074,4.5016,9.9678,"(4.5%, 10.0%)"
meta-llama_llama-4-maverick,countries-and-timezones,run2,2,22,12,10,54.5455,31.8182,72.7273,"(31.8%, 72.7%)"
meta-llama_llama-4-maverick,node-jsonfile,run2,2,17,5,12,29.4118,11.7647,52.9412,"(11.8%, 52.9%)"
meta-llama_llama-4-maverick,pull-stream,run2,2,144,3,141,2.0833,0.0,4.8611,"(0.0%, 4.9%)"
meta-llama_llama-4-maverick,spacl-core,run2,2,17,6,11,35.2941,11.7647,58.8235,"(11.8%, 58.8%)"
meta-llama_llama-4-maverick,zip-a-folder,run2,2,2,0,2,0.0,0.0,0.0,"(0.0%, 0.0%)"
meta-llama_llama-4-maverick,Complex.js,run3,3,311,22,289,7.074,4.5016,9.9678,"(4.5%, 10.0%)"
meta-llama_llama-4-maverick,countries-and-timezones,run3,3,22,12,10,54.5455,31.8182,72.7273,"(31.8%, 72.7%)"
meta-llama_llama-4-maverick,node-jsonfile,run3,3,17,5,12,29.4118,11.7647,52.9412,"(11.8%, 52.9%)"
meta-llama_llama-4-maverick,pull-stream,run3,3,144,3,141,2.0833,0.0,4.8611,"(0.0%, 4.9%)"
meta-llama_llama-4-maverick,spacl-core,run3,3,17,6,11,35.2941,11.7647,58.8235,"(11.8%, 58.8%)"
meta-llama_llama-4-maverick,zip-a-folder,run3,3,2,0,2,0.0,0.0,0.0,"(0.0%, 0.0%)"
meta-llama_llama-4-maverick,Complex.js,run4,4,311,22,289,7.074,4.5016,9.9678,"(4.5%, 10.0%)"
meta-llama_llama-4-maverick,countries-and-timezones,run4,4,22,12,10,54.5455,31.8182,72.7273,"(31.8%, 72.7%)"
meta-llama_llama-4-maverick,node-jsonfile,run4,4,17,5,12,29.4118,11.7647,52.9412,"(11.8%, 52.9%)"
meta-llama_llama-4-maverick,pull-stream,run4,4,144,3,141,2.0833,0.0,4.8611,"(0.0%, 4.9%)"
meta-llama_llama-4-maverick,spacl-core,run4,4,17,6,11,35.2941,11.7647,58.8235,"(11.8%, 58.8%)"
meta-llama_llama-4-maverick,zip-a-folder,run4,4,2,0,2,0.0,0.0,0.0,"(0.0%, 0.0%)"
meta-llama_llama-4-maverick,Complex.js,run5,5,311,22,289,7.074,4.5016,9.9678,"(4.5%, 10.0%)"
meta-llama_llama-4-maverick,countries-and-timezones,run5,5,22,12,10,54.5455,31.8182,72.7273,"(31.8%, 72.7%)"
meta-llama_llama-4-maverick,node-jsonfile,run5,5,17,5,12,29.4118,11.7647,52.9412,"(11.8%, 52.9%)"
meta-llama_llama-4-maverick,pull-stream,run5,5,144,3,141,2.0833,0.0,4.8611,"(0.0%, 4.9%)"
meta-llama_llama-4-maverick,spacl-core,run5,5,17,6,11,35.2941,11.7647,58.8235,"(11.8%, 58.8%)"
meta-llama_llama-4-maverick,zip-a-folder,run5,5,2,0,2,0.0,0.0,0.0,"(0.0%, 0.0%)"
openai_gpt-4o-mini,Complex.js,run1,1,408,26,382,6.3725,4.1667,8.8235,"(4.2%, 8.8%)"
openai_gpt-4o-mini,countries-and-timezones,run1,1,42,27,15,64.2857,50.0,78.5714,"(50.0%, 78.6%)"
openai_gpt-4o-mini,node-jsonfile,run1,1,28,5,23,17.8571,3.5714,32.1429,"(3.6%, 32.1%)"
openai_gpt-4o-mini,pull-stream,run1,1,242,3,239,1.2397,0.0,2.8926,"(0.0%, 2.9%)"
openai_gpt-4o-mini,spacl-core,run1,1,18,9,9,50.0,27.7778,72.2222,"(27.8%, 72.2%)"
openai_gpt-4o-mini,zip-a-folder,run1,1,4,0,4,0.0,0.0,0.0,"(0.0%, 0.0%)"
openai_gpt-4o-mini,Complex.js,run2,2,408,26,382,6.3725,4.1667,8.8235,"(4.2%, 8.8%)"
openai_gpt-4o-mini,countries-and-timezones,run2,2,42,27,15,64.2857,50.0,78.5714,"(50.0%, 78.6%)"
openai_gpt-4o-mini,node-jsonfile,run2,2,28,5,23,17.8571,3.5714,32.1429,"(3.6%, 32.1%)"
openai_gpt-4o-mini,pull-stream,run2,2,242,3,239,1.2397,0.0,2.8926,"(0.0%, 2.9%)"
openai_gpt-4o-mini,spacl-core,run2,2,18,9,9,50.0,27.7778,72.2222,"(27.8%, 72.2%)"
openai_gpt-4o-mini,zip-a-folder,run2,2,4,0,4,0.0,0.0,0.0,"(0.0%, 0.0%)"
openai_gpt-4o-mini,Complex.js,run3,3,408,26,382,6.3725,4.1667,8.8235,"(4.2%, 8.8%)"
openai_gpt-4o-mini,countries-and-timezones,run3,3,42,27,15,64.2857,50.0,78.5714,"(50.0%, 78.6%)"
openai_gpt-4o-mini,node-jsonfile,run3,3,28,5,23,17.8571,3.5714,32.1429,"(3.6%, 32.1%)"
openai_gpt-4o-mini,pull-stream,run3,3,242,3,239,1.2397,0.0,2.8926,"(0.0%, 2.9%)"
openai_gpt-4o-mini,spacl-core,run3,3,18,9,9,50.0,27.7778,72.2222,"(27.8%, 72.2%)"
openai_gpt-4o-mini,zip-a-folder,run3,3,4,0,4,0.0,0.0,0.0,"(0.0%, 0.0%)"
openai_gpt-4o-mini,Complex.js,run4,4,408,26,382,6.3725,4.1667,8.8235,"(4.2%, 8.8%)"
openai_gpt-4o-mini,countries-and-timezones,run4,4,42,27,15,64.2857,50.0,78.5714,"(50.0%, 78.6%)"
openai_gpt-4o-mini,node-jsonfile,run4,4,28,5,23,17.8571,3.5714,32.1429,"(3.6%, 32.1%)"
openai_gpt-4o-mini,pull-stream,run4,4,242,3,239,1.2397,0.0,2.8926,"(0.0%, 2.9%)"
openai_gpt-4o-mini,spacl-core,run4,4,18,9,9,50.0,27.7778,72.2222,"(27.8%, 72.2%)"
openai_gpt-4o-mini,zip-a-folder,run4,4,4,0,4,0.0,0.0,0.0,"(0.0%, 0.0%)"
openai_gpt-4o-mini,Complex.js,run5,5,408,26,382,6.3725,4.1667,8.8235,"(4.2%, 8.8%)"
openai_gpt-4o-mini,countries-and-timezones,run5,5,42,27,15,64.2857,50.0,78.5714,"(50.0%, 78.6%)"
openai_gpt-4o-mini,node-jsonfile,run5,5,28,5,23,17.8571,3.5714,32.1429,"(3.6%, 32.1%)"
openai_gpt-4o-mini,pull-stream,run5,5,242,3,239,1.2397,0.0,2.8926,"(0.0%, 2.9%)"
openai_gpt-4o-mini,spacl-core,run5,5,18,9,9,50.0,27.7778,72.2222,"(27.8%, 72.2%)"
openai_gpt-4o-mini,zip-a-folder,run5,5,4,0,4,0.0,0.0,0.0,"(0.0%, 0.0%)"
