model_a,model_b,metric,U,p_raw,delta,magnitude,p_holm
google_gemini-3.5-flash,meta-llama_llama-3.1-8b-instruct,medianAbsLevenshtein,5.0,0.039758349639090765,-0.7222222222222222,large,1.0
google_gemini-3.5-flash,meta-llama_llama-3.3-70b-instruct,medianAbsLevenshtein,11.5,0.3332647150356334,-0.3611111111111111,medium,1.0
google_gemini-3.5-flash,openai_gpt-4o,medianAbsLevenshtein,13.0,0.4640530709615893,-0.2777777777777778,small,1.0
google_gemini-3.5-flash,openai_gpt-4o-mini,medianAbsLevenshtein,12.0,0.3751171348317355,-0.3333333333333333,medium,1.0
google_gemini-3.5-flash,qwen_qwen-2.5-coder-32b-instruct,medianAbsLevenshtein,14.5,0.6254604825773773,-0.19444444444444445,small,1.0
meta-llama_llama-3.1-8b-instruct,meta-llama_llama-3.3-70b-instruct,medianAbsLevenshtein,24.5,0.3306791023972758,0.3611111111111111,medium,1.0
meta-llama_llama-3.1-8b-instruct,openai_gpt-4o,medianAbsLevenshtein,26.0,0.22067136191984682,0.4444444444444444,medium,1.0
meta-llama_llama-3.1-8b-instruct,openai_gpt-4o-mini,medianAbsLevenshtein,26.0,0.22649054028251026,0.4444444444444444,medium,1.0
meta-llama_llama-3.1-8b-instruct,qwen_qwen-2.5-coder-32b-instruct,medianAbsLevenshtein,27.5,0.1430905647493587,0.5277777777777778,large,1.0
meta-llama_llama-3.3-70b-instruct,openai_gpt-4o,medianAbsLevenshtein,21.5,0.6254604825773773,0.19444444444444445,small,1.0
meta-llama_llama-3.3-70b-instruct,openai_gpt-4o-mini,medianAbsLevenshtein,20.5,0.7435211038519465,0.1388888888888889,negligible,1.0
meta-llama_llama-3.3-70b-instruct,qwen_qwen-2.5-coder-32b-instruct,medianAbsLevenshtein,20.5,0.7457495492415471,0.1388888888888889,negligible,1.0
openai_gpt-4o,openai_gpt-4o-mini,medianAbsLevenshtein,16.5,0.8705159028204088,-0.08333333333333333,negligible,1.0
openai_gpt-4o,qwen_qwen-2.5-coder-32b-instruct,medianAbsLevenshtein,18.5,1.0,0.027777777777777776,negligible,1.0
openai_gpt-4o-mini,qwen_qwen-2.5-coder-32b-instruct,medianAbsLevenshtein,19.5,0.8714360118108195,0.08333333333333333,negligible,1.0
