model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,inputCostUsd,outputCostUsd,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
meta-llama_llama-3.1-8b-instruct,node-jsonfile,1,run1,,68,197,159,37,1,5,80.71065989847716,2.5380710659898478,18.781725888324875,73.58,58,42,59,430.567,46251,10779,0.00092502,0.0005389500000000001,0.0014639700000000002,0.000007431319796954316,0.00000920735849056604,0.000009506298701298703,0.000034856428571428576,0.000041827714285714294,0.000019896303343299814,7,35
meta-llama_llama-3.1-8b-instruct,pull-stream,1,run1,,351,1057,749,297,11,8,70.86092715231787,0.7568590350047304,28.098391674550616,69.69,463,227,59,1138.183,171744,53533,0.0034348800000000004,0.00267665,0.0061115300000000004,0.000005781958372753075,0.00000815958611481976,0.000008247678812415655,0.000026923039647577094,0.000027529414414414416,0.00008769593915913331,5,222
meta-llama_llama-3.1-8b-instruct,spacl-core,1,run1,,134,394,246,133,15,8,62.43654822335025,2.030456852791878,33.756345177664976,86.32,202,32,0,904.921,137051,22009,0.0027410200000000003,0.00110045,0.0038414700000000005,0.00000974992385786802,0.000015615731707317073,0.000016140630252100842,0.00012004593750000001,0.00024009187500000003,0.000044502664504170536,16,16
meta-llama_llama-3.1-8b-instruct,zip-a-folder,1,run1,,49,143,100,41,2,4,69.93006993006993,2.797202797202797,28.671328671328673,95,24,5,71,954.77,64962,8075,0.0012992400000000001,0.00040375000000000003,0.0017029900000000001,0.00001190902097902098,0.0000170299,0.00001773947916666667,0.000340598,0.000340598,0.000017926210526315792,0,5
meta-llama_llama-3.3-70b-instruct,Complex.js,1,run1,,490,1385,1153,232,0,87,83.24909747292418,6.28158844765343,16.750902527075812,62.01,715,438,0,332.943,789062,98471,0.07890620000000001,0.03151072,0.11041692,0.00007972340794223827,0.00009576489158716392,0.00010358060037523452,0.00025209342465753423,0.0002774294472361809,0.0017806308659893567,40,398
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,1,run1,,106,311,268,43,0,7,86.17363344051448,2.2508038585209005,13.826366559485532,83.21,223,45,0,274.685,82948,21391,0.0082948,0.0068451200000000005,0.015139920000000001,0.00004868141479099679,0.00005649223880597015,0.00005800735632183908,0.0003364426666666667,0.0005607377777777778,0.00018194832351880785,18,27
meta-llama_llama-3.3-70b-instruct,node-jsonfile,1,run1,,68,199,171,28,0,5,85.92964824120602,2.512562814070352,14.07035175879397,75.44,59,42,70,502.876,46430,13587,0.004643,0.00434784,0.00899084,0.00004518010050251256,0.000052578011695906434,0.00005416168674698795,0.00021406761904761904,0.00031002896551724136,0.00011917868504772005,13,29
meta-llama_llama-3.3-70b-instruct,pull-stream,1,run1,,351,1040,800,223,17,15,76.92307692307693,1.4423076923076923,21.44230769230769,67.25,486,262,52,1162.05,173381,67874,0.017338100000000002,0.02171968,0.03905778,0.000037555557692307694,0.000048822225,0.000049755133757961786,0.0001490754961832061,0.00015437857707509883,0.0005807848327137546,9,253
meta-llama_llama-3.3-70b-instruct,spacl-core,1,run1,,134,387,264,120,3,14,68.21705426356588,3.6175710594315245,31.007751937984494,87.9,217,30,1,979.889,137742,26387,0.0137742,0.008443840000000001,0.02221804,0.00005741095607235142,0.00008415924242424243,0.00008887216000000001,0.0007406013333333334,0.0013886275,0.00025276496018202503,14,16
meta-llama_llama-3.3-70b-instruct,zip-a-folder,1,run1,,49,145,114,31,0,2,78.62068965517241,1.3793103448275863,21.379310344827587,94.74,82,6,26,398.701,65055,10112,0.006505500000000001,0.00323584,0.009741340000000001,0.0000671816551724138,0.00008545035087719299,0.00008697625,0.001623556666666667,0.001623556666666667,0.00010282182816128353,0,6
